"uid","title","species"
"WOS:000368199300025","Brain cholinesterase reactivation as a marker of exposure to anticholinesterase pesticides: a case study in a population of yellow-legged gull Larus michahellis (Naumann, 1840) along the northern coast of Portugal","yellow-legged gull"
"WOS:000368204900005","Is there a spillover effect of a right turn on red permission for bicyclists?","permit"
"WOS:000368216100004","Ray bycatch in a tropical shrimp fishery: Do Bycatch Reduction Devices and Turtle Excluder Devices effectively exclude rays?","turtles"
"WOS:000368232400002","Revisiting in vivo staining with alizarin red S - a valuable approach to analyse zebrafish skeletal mineralization during development and regeneration","salmon"
"WOS:000368236600065","Collective excitations in neutron-star crusts","sea stars"
"WOS:000368254600001","Allelopathic interactions between the brown algal genus Lobophora (Dictyotales, Phaeophyceae) and scleractinian corals","hard corals"
"WOS:000368298700025","Do arbuscular mycorrhizal fungi stabilize litter-derived carbon in soil?","fungi"
"WOS:000368306500052","Acoustic stress responses in juvenile sea bass Dicentrarchus labrax induced by offshore pile driving","trout"
"WOS:000368313800008","Development of a PROficiency-Based StePwise Endovascular Curricular Training (PROSPECT) Program","knot"
"WOS:000368322900035","Effect of Extraction Conditions on the Saccharide (Neutral and Acidic) Composition of the Crude Pectic Extract from Various Agro-Industrial Residues","beet"
"WOS:000368349700001","A sex-inducing pheromone triggers cell cycle arrest and mate attraction in the diatom Seminavis robusta","diatoms"
"WOS:000368366200001","Charge transport through one-dimensional Moire crystals","lettered cone"
"WOS:000368401600006","GPS tracking data of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast","Southern black-backed gull"
"WOS:000368435800020","Does biobased polymer achieve better environmental impacts than fossil polymer? Comparison of fossil HDPE and biobased HDPE produced from sugar beet and wheat","beet"
"WOS:000368481600003","Two-shell vortex and antivortex dynamics in a Corbino superconducting disk","top shells"
"WOS:000368482600001","Absence of many-body mobility edges","bubble"
"WOS:000368490500006","Comparative genome-wide transcriptome analysis of Vitis vinifera responses to adapted and non-adapted strains of two-spotted spider mite, Tetranyhus urticae","spiders"
"WOS:000368508200007","Habitat association and coexistence of endemic and introduced ant species in the Galapagos Islands","red trees"
"WOS:000368516700001","Influence of atmospheric electric fields on the radio emission from extensive air showers","electric rays"
"WOS:000368517500003","Dynamical thermalization in Bose-Hubbard systems","wells"
"WOS:000368541900012","Life history trade-offs imposed by dragline use in two money spiders","spiders"
"WOS:000368546600002","Corporate management of visibility and the fantasy of the post-political: Social media and surveillance","file shells"
"WOS:000368564500014","Differential modulation of ammonia excretion, Rhesus glycoproteins and ion-regulation in common carp (Cyprinus carpio) following individual and combined exposure to waterborne copper and ammonia","trout"
"WOS:000368588900008","Land Use Effects on Mangrove Nutrient Status in Phang Nga Bay, Thailand","red mangrove crab"
"WOS:000368604500007","Exploring a Hidden Painting Below the Surface of Rene Magritte's Le Portrait","painted ray"
"WOS:000368641500005","The soldierless Apicotermitinae: insights into a poorly known and ecologically dominant tropical taxon","arthropods"
"WOS:000368646000001","Development and Validation of a Morphologic Obstructive Sleep Apnea Prediction Score: The DES-OSA Score","little necks"
"WOS:000368655300071","Can Ingestion of Lead Shot and Poisons Change Population Trends of Three European Birds: Grey Partridge, Common Buzzard, and Red Kite?","red bait"
"WOS:000368655300102","Vascular Endothelium-Dependent and Independent Actions of Oleanolic Acid and Its Synthetic Oleanane Derivatives as Possible Mechanisms for Hypotensive Effects","vascular plants"
"WOS:000368704300013","Identification and characterization of parasitism genes from the pinewood nematode Bursaphelenchus xylophilus reveals a multilayered detoxification strategy","nematodes"
"WOS:000368707800005","Unleashing Cancer Cells on Surfaces Exposing Motogenic IGDQ Peptides","asp"
"WOS:000368721800010","Xenobiotic and Immune-Relevant Molecular Biomarkers in Harbor Seals as Proxies for Pollutant Burden and Effects","sea porpoise"
"WOS:000368721800012","Effects of Methylmercury on Harbour Seal Peripheral Blood Leucocytes In Vitro Studied by Electron Microscopy","harbour seal"
"WOS:000368723500014","Networks of prospective thoughts: The organisational role of emotion and its impact on well-being","wells"
"WOS:000368724800006","Glide of dislocations in < 1 1 1 >{321} slip system: an atomistic study","slip"
"WOS:000368732300035","Ocular manifestations of microcephaly with or without chorioretinopathy, lymphedema or intellectual disability (MCLID) syndrome associated with mutations in KIF11","variable cone"
"WOS:000368746200010","Effect of rice variety and fertilizer type on the active microbial community structure in tropical paddy fields in Sri Lanka","gram-negative bacteria"
"WOS:000368778800001","First freshwater coralline alga and the role of local features in a major biome transition","red algae"
"WOS:000368788700003","Mental Health Nurses' Attitudes and Perceived Self-Efficacy Toward Inpatient Aggression: A Cross-Sectional Study of Associations With Nurse-Related Characteristics","nurse"
"WOS:000368810300038","Enabling sub-lethal behavioral ecotoxicity biotests using microfluidic Lab-on-a-Chip technology","franciscana"
"WOS:000368821500013","Flux balance analysis of primary metabolism in the diatom Phaeodactylum tricornutum","diatoms"
"WOS:000368826000002","Euthanasia and physician-assisted suicide: A white paper from the European Association for Palliative Care","white death"
"WOS:000368841000004","Review of 30 Years of Longitudinal Studies on the Association Between Job Insecurity and Health and Well-Being: Is There Causal Evidence?","wells"
"WOS:000368850500028","Chemical quality assessment of traditional salt-fermented shrimp paste from Northern Mindanao, Philippines","similar shrimp"
"WOS:000368883000017","Modification of the 1-Phosphate Group during Biosynthesis of Capnocytophaga canimorsus Lipid A","gram-negative bacteria"
"WOS:000368903200004","Domino Carbopalladation/C-H Functionalization Sequence: An Expedient Synthesis of Bis-Heteroaryls through Transient Alkyl/Vinyl-Palladium Species Capture","domino"
"WOS:000368906200023","Liquid Nickel Salts: Synthesis, Crystal Structure Determination, and Electrochemical Synthesis of Nickel Nanoparticles","squids"
"WOS:000368946900042","A neuronal aging pattern unique to humans and common chimpanzees","mammals"
"WOS:000368950500007","Kahalalide F analogues from the mucous secretion of Indian sacoglossan mollusc Elysia ornata","molluscs"
"WOS:000368951000001","Evaluating simultaneous chromate and nitrate reduction during microbial denitrification processes","bacteria"
"WOS:000368962400007","Population modelling to compare chronic external radiotoxicity between individual and population endpoints in four taxonomic groups","snails"
"WOS:000369002400022","The influence of tetraethoxysilane sol preparation on the electrospinning of silica nanofibers","soles"
"WOS:000369009100016","Response to dietary tannin challenges in view of the browser/grazer dichotomy in an Ethiopian setting: Bonga sheep versus Kaffa goats","salt hay grass"
"WOS:000369020700001","Clouds enhance Greenland ice sheet meltwater runoff","sea rose"
"WOS:000369049500016","Effect of Subcutaneous Dupilumab on Nasal Polyp Burden in Patients With Chronic Sinusitis and Nasal Polyposis A Randomized Clinical Trial","smelt"
"WOS:000369061900013","Two-stage muscle activity responses in decisions about leg movement adjustments during trip recovery","long legs"
"WOS:000369067400001","Liquid-induced colour change in a beetle: the concept of a photonic cell","beetles"
"WOS:000369067900016","Summer social structure of crabeater seal Lobodon carcinophaga in the Amundsen Sea, Antarctica","whales"
"WOS:000369080300005","Description of Phasmarhabditis californica n. sp and first report of P. papillosa (Nematoda: Rhabditidae) from invasive slugs in the USA","long spindle"
"WOS:000369085100067","Nuclear hormone receptor DHR96 mediates the resistance to xenobiotics but not the increased lifespan of insulin-mutant Drosophila","nuclear worm"
"WOS:000369093200002","Germ-free sea bass Dicentrarchus labrax larval model: a valuable tool in the study of host-microbe interactions","sea egg"
"WOS:000369115800161","Nanoscale Study of Polymer Dynamics","sea tube"
"WOS:000369116100018","Supported Silver Nanoparticle and Near-Interface Solution Dynamics in a Deep Eutectic Solvent","electric rays"
"WOS:000369135400014","Temperature, precipitation, and insolation effects on autumn vegetation phenology in temperate China","temperate basses"
"WOS:000369137300011","Gemcitabine-Based Chemoradiation in the Treatment of Locally Advanced Head and Neck Cancer: Systematic Review of Literature and Meta-Analysis","little necks"
"WOS:000369141000032","Taxonomic challenges in freshwater fishes: a mismatch between morphology and DNA barcoding in fish of the north-eastern part of the Congo basin","fish"
"WOS:000369152700029","Abortively Infected Astrocytes Appear To Represent the Main Source of Interferon Beta in the Virus-Infected Brain","firefly"
"WOS:000369164400002","Maternal adjustment or constraint: differential effects of food availability on maternal deposition of macro-nutrients, steroids and thyroid hormones in rock pigeon eggs","zebra"
"WOS:000369191300031","An investigation on spray cooling using saline water with experimental verification","cylindrical cone"
"WOS:000369194900010","Emil Selenka on the embryonic membranes of the mouse and placentation in gibbons and orangutans","mouse cone"
"WOS:000369196900007","Recognition of purified beta 1,3/1,6 glucan and molecular signalling in the intestine of Atlantic salmon","salmon"
"WOS:000369201600001","Holocene shelf sedimentation patterns off equatorial East Africa constrained by climatic and sea-level changes","sea rose"
"WOS:000369203500018","Water-harvesting designs for fruit tree production in dry environments","olives"
"WOS:000369204100021","Cellulose/phosphorus combinations for sustainable fire retarded polylactide","flame cone"
"WOS:000369212600004","Predator effects on the feeding and bioirrigation activity of ecosystem-engineered Lanice conchilega reefs","tubeworm"
"WOS:000369233400001","Strategic complementarities and unraveling in matching markets","rush"
"WOS:000369247700004","Choosing voluntary exercise over sucrose consumption depends upon dopamine transmission: effects of haloperidol in wild type and adenosine A(2A)KO mice","wheel animals"
"WOS:000369338300036","Profiling of the Early Nitrogen Stress Response in the Diatom Phaeodactylum tricornutum Reveals a Novel Family of RING-Domain Transcription Factors","diatoms"
"WOS:000369351900014","Knowledge of Psychiatric Nurses About the Potentially Lethal Side-Effects of Clozapine","nurse"
"WOS:000369367700006","Local orbital angular momentum revealed by spiral-phase-plate imaging in transmission-electron microscopy","spiral"
"WOS:000369370100008","Overexpression of NAD(P)H: quinone oxidoreductase 1 (NQO1) and genomic gain of the NQO1 locus modulates breast cancer cell sensitivity to quinones","rat fish"
"WOS:000369389800006","Review of the fur-mite genus Soricilichus Fain, 1970 (Acariformes: Chirodiscidae)-symbionts of the African shrews of the subfamily Crocidurinae (Soricomorpha: Soricidae)","mites"
"WOS:000369402200002","Altercentric Interference in Level 1 Visual Perspective Taking Reflects the Ascription of Mental States, Not Submentalizing","goggles"
"WOS:000369405200009","First insights into the diversity of gill monogeneans of 'Gnathochromis' and Limnochromis (Teleostei, Cichlidae) in Burundi: do the parasites mirror host ecology and phylogenetic history?","parasitic flatworms"
"WOS:000369407200002","A new species of Metopocetus (Cetacea, Mysticeti, Cetotheriidae) from the Late Miocene of the Netherlands","whales"
"WOS:000369430100016","Intertidal nematode communities in the Mekong estuaries of Vietnam and their potential for biomonitoring","nematodes"
"WOS:000369450500009","Discerning the causes of a decline in a common European fish, the roach (Rutilus rutilus L.): A modelling approach","roach"
"WOS:000369451100005","Effects of contrasting wave conditions on scour and drag on pioneer tidal marsh plants","ship"
"WOS:000369460500098","Texturing of hydrothermally synthesized BaTiO3 in a strong magnetic field by slip casting","slip"
"WOS:000369460700007","Voodoo versus fishing committees: The role of traditional and contemporary institutions in fisheries management","fish"
"WOS:000369462900008","Modelling protection behaviour towards micronutrient deficiencies: Case of iodine biofortified vegetable legumes as health intervention for school-going children","hard head"
"WOS:000369463500009","Type III Secretion: Building and Operating a Remarkable Nanomachine","gram-negative bacteria"
"WOS:000369469800003","Experimental Neospora caninum infection modifies trophoblast cell populations and plasma pregnancy-associated glycoprotein 1 and 2 dynamics in pregnant dairy heifers","protozoans"
"WOS:000369491500005","Effects of breeding habitat (woodland versus urban) and metal pollution on the egg characteristics of great tits (Parus major)","spot"
"WOS:000369494300006","Pectin content and composition from different food waste streams","beet"
"WOS:000369494300008","Comparative evaluation of methods for the detection of 2-alkylcyclobutanones as indicators for irradiation treatment of cashew nuts and nutmeg","nutmegs"
"WOS:000369494300036","Pesticide contamination of Tenebrio molitor (Coleoptera: Tenebrionidae) for human consumption","insects"
"WOS:000369502900031","A 365-Million-Year-Old Freshwater Community Reveals Morphological and Ecological Stasis in Branchiopod Crustaceans","water fleas"
"WOS:000369516600028","Detection of mixed-range proton pencil beams with a prompt gamma slit camera","knife"
"WOS:000369530000014","Into and out of the tropics: global diversification patterns in a hyperdiverse clade of ectomycorrhizal fungi","temperate basses"
"WOS:000369535000013","MALT1 is not alone after all: identification of novel paracaspases","vertebrates"
"WOS:000369537800015","Diet-induced phenotypic plasticity in European eel (Anguilla anguilla)","snake eels"
"WOS:000369550100010","A domino Ugi/Michael approach for the synthesis of alpha,beta-unsaturated gamma-lactams","domino"
"WOS:000369550200014","Direct Visualization of Mucus Production by the Cold-Water Coral Lophelia pertusa with Digital Holographic Microscopy","similar shrimp"
"WOS:000369550200082","Myocardial Structural and Biological Anomalies Induced by High Fat Diet in Psammomys obesus Gerbils","vascular plants"
"WOS:000369550200143","Complete mitochondrial genome of the Verticillium-wilt causing plant pathogen Verticillium nonalfalfae","vascular plants"
"WOS:000369556500013","Electron beam melted Ti-6Al-4V: Microstructure, texture and mechanical behavior of the as-built and heat-treated material","rough ray"
"WOS:000369559100019","The chromatographic performance of flow-through particles: A computational fluid dynamics study","slip"
"WOS:000369561600007","Effect of poly-beta-hydroxybutyrate on growth and disease resistance of Nile tilapia Oreochromis niloticus juveniles","tilapia"
"WOS:000369601600009","Triflate-functionalized calix[6]arenes as versatile building-blocks: application to the synthesis of an inherently chiral Zn(II) complex","water bears"
"WOS:000369601600015","A new vinyl selenone-based domino approach to spirocyclopropyl oxindoles endowed with anti-HIV RT activity","domino"
"WOS:000369630600006","Distribution of trace elements in the aquatic ecosystem of the Thigithe river and the fish Labeo victorianus in Tanzania and possible risks for human consumption","fish"
"WOS:000369642800022","Water-soluble sulfonated hyperbranched poly(arylene oxindole) catalysts as functional biomimics of cellulases","water bears"
"WOS:000369679700034","Differential effects of the recombinant toxin PnTx4(5-5) from the spider Phoneutria nigriventer on mammalian and insect sodium channels","spiders"
"WOS:000369710300024","Dynamical measurement of the stellar surface density of face-on galaxies","spiral"
"WOS:000369715900014","The XMM spectral catalog of SDSS optically selected Seyfert 2 galaxies","seven rayed star"
"WOS:000369715900024","The bolometric and UV attenuation in normal spiral galaxies of the Herschel Reference Survey","spiral"
"WOS:000369715900025","Measuring rotation periods of solar-like stars using TIGRE A study of periodic CaII H plus K S-index variability","sun stars"
"WOS:000369715900157","The VLT/NaCo large program to probe the occurrence of exoplanets and brown dwarfs at wide orbits III. The frequency of brown dwarfs and giant planets as companions to solar-type stars","sun stars"
"WOS:000369721800001","Spontaneous Physical Activity Downregulates Pax7 in Cancer Cachexia","bears"
"WOS:000369724500004","Supplemental food for Amblyseius swirskii in the control of thrips: feeding friend or foe?","mites"
"WOS:000369734300037","Search for correlations between the arrival directions of IceCube neutrino events and ultrahigh-energy cosmic rays detected by the Pierre Auger Observatory and the Telescope Array","augers"
"WOS:000369779800001","Practical key to identify entire edible insects sold as foodstuff or feedstuff in central Europe","insects"
"WOS:000369888800015","Tres medici, duo athei ? The Physician as Atheist and the Medicalization of the Soul","springer"
"WOS:000369924800001","A genome-wide search for eigenetically regulated genes in zebra finch using MethylCap-seq and RNA-seq","zebra"
"WOS:000369931400001","Three-dimensional full-field X-ray orientation microscopy","spotted ray"
"WOS:000369955500007","Testing for Deperet's Rule (Body Size Increase) in Mammals using Combined Extinct and Extant Data","mammals"
"WOS:000369960400004","New antimicrobial chitosan derivatives for wound dressing applications","sponges"
"WOS:000369963300003","A black-and-red stick insect from the Philippines - observations on the external anatomy and natural history of a new species of Orthomeria","red pandora"
"WOS:000369975700018","Is there a missing link? Effects of root herbivory on plant-pollinator interactions and reproductive output in a monocarpic species","plants"
"WOS:000369989500011","Discovery of novel phenoxazinone derivatives as DKK1/LRP6 interaction inhibitors: Synthesis, biological evaluation and structure-activity relationships","tangle"
"WOS:000370000600002","Characterization and refinement of growth related quantitative trait loci in European sea bass (Dicentrarchus labrax) using a comparative approach","trout"
"WOS:000370000600008","Thermosensitivity of the sex differentiation process in the African catfish, Clarias gariepinus: Determination of the thermosensitive period","tilapia"
"WOS:000370000900024","Effects of Offshore Wind Farms on the Early Life Stages of Dicentrarchus labrax","sea bass"
"WOS:000370000900077","Impacts of Underwater Noise on Marine Vertebrates: Project Introduction and First Results","vertebrates"
"WOS:000370000900146","WODA Technical Guidance on Underwater Sound from Dredging","mammals"
"WOS:000370037000001","Probing the phenomenon of trained immunity in invertebrates during a transgenerational study, using brine shrimp Artemia as a model system","franciscana"
"WOS:000370052700004","Trophic ecology of Mnemiopsis leidyi in the southern North Sea: a biomarker approach","beroe"
"WOS:000370056800009","A novel multimodular methodology to investigate external cervical tooth resorption","cones"
"WOS:000370064400005","Differences in uptake and killing of pathogenic and non-pathogenic bacteria by haemocyte subpopulations of penaeid shrimp, Litopenaeus vannamei, (Boone)","shrimps"
"WOS:000370064600007","Characterization of phenotype variations of luminescent and non-luminescent variants of Vibrio harveyi wild type and quorum sensing mutants","molluscs"
"WOS:000370065600007","Aggressive tumor growth and clinical evolution in a patient with X-linked acro-gigantism syndrome","lag"
"WOS:000370066000003","Trans-national horizon scanning for invasive non-native species: a case study in western Europe","zebra shrimp"
"WOS:000370066000019","Unravelling the invasion pathways of the quagga mussel (Dreissena rostriformis) into Western Europe","zebra mussel"
"WOS:000370066200010","The distribution of an invasive fish species is highly affected by the presence of native fish species: evidence based on species distribution modelling","three-spined stickleback"
"WOS:000370066200022","An overlooked invader? Ecological niche, invasion success and range dynamics of the Alexandrine parakeet in the invaded range","monk"
"WOS:000370073300010","Sector collapse events at volcanoes in the North Tanzanian divergence zone and their implications for regional tectonics","slip"
"WOS:000370086300007","Detailed kinetic performance analysis of micromachined radially elongated pillar array columns for liquid chromatography","elongated shell"
"WOS:000370091000002","Vessel Normalization in the Spot-LIGHT of Cancer Treatment","spot"
"WOS:000370091500002","Optimal stiffening configuration for locally supported cylindrical silos: Engaged columns","top shells"
"WOS:000370093700010","Direct simulation and experimental study of zigzag maneuver of KCS in shallow water","ship"
"WOS:000370103700004","Biocompatibility of a fish scale-derived artificial cornea: Cytotoxicity, cellular adhesion and phenotype, and in vivo immunogenicity","white fish"
"WOS:000370106700007","On the assessment of uncertainty in risk diagrams","ship"
"WOS:000370109200015","Heterogeneous interfacial chemical nature and bonds in a W-coated diamond/Al composite","eel"
"WOS:000370109500018","Realistic environmental mixtures of hydrophobic compounds do not alter growth of a marine diatom","diatoms"
