"uid","title","species"
"WOS:000078311200003","On the cultivation of free-living marine and estuarine nematodes","Oncholaimus oxyuris"
"WOS:000078319200046","A crystal of a typical EF-hand protein grown under microgravity diffracts X-rays beyond 0.9 angstrom resolution","Lucius lucius"
"WOS:000078365600018","Susceptibility of embryonic and larval African catfish (Clarias gariepinus) to toxicants","Cyprinus carpio"
"WOS:000078406500002","Analysis of the swimming velocity of cadmium-stressed Daphnia magna","Daphnia pulex"
"WOS:000078524400012","Immunogenicity of recombinant BCG producing the GRA1 antigen from Toxoplasma gondii","Toxoplasma gondii"
"WOS:000078536400003","Diets of abundant fishes from beach seine catches in seagrass beds of a tropical bay (Gazi Bay, Kenya)","Lutjanus indicus"
"WOS:000078646300011","Bi-functional gfp-and gusA-containing mini-Tn5 transposon derivatives for combined gene expression and bacterial localization studies","Pseudomonas stutzeri"
"WOS:000078831200003","The effect of rice seeding rate on rice and fish production, and weed abundance in direct-seeded rice-fish culture","Oreochromis niloticus"
"WOS:000078925900004","The freshwater Cladocera (orders Ctenopoda and Anomopoda) of Mexico, with comments on selected taxa","Daphnia pulex"
"WOS:000078929000030","An LC50 vs time model for the aquatic toxicity of reactive and receptor-mediated compounds. Consequences for bioconcentration kinetics and risk assessment","Poecilia reticulata"
"WOS:000078990900004","Immunohistochemical localization and biochemical characterization of two novel decapeptides derived from POMC-A in the trout hypothalamus","Oncorhynchus mykiss"
"WOS:000079069100021","Ingestion rates of Daphnia magna Straus (Crustacea : Branchiopoda : Anomopoda) on bacterioplankton and phytoplankton in an aerated waste stabilisation pond","Daphnia magna"
"WOS:000079241900006","Simultaneous determination of alpha-tocopheryl acetate and tocopherols in aquatic organisms and fish feed","Salmo gairdneri"
"WOS:000079305100008","Effects of polychlorinated biphenyls on liver ultrastructure, hepatic monooxygenases, and reproductive success in the barbel","Platichthys stellatus"
"WOS:000079316800013","Attempt at biochemical characterization of sand smelt Atherina boyeri Risso, 1810 (Pisces, Atherinidae) populations from the Camargue (Rhone delta, France)","Atherina risso"
"WOS:000079382600010","Muscle parvalbumin isoforms of Clarias gariepinus, Heterobranchus longifilis and Chrysichthys auratus: isolation, characterization and expression during development","Chrysichthys auratus"
"WOS:000079606600004","Diatom communities from alkaline environments of the Brogger peninsula, north-west Spitsbergen","Navicula amphioxys"
"WOS:000079717300001","Annual activity cycle of adult brown trout (Salmo trutta L.): A radio-telemetry study in a small stream of the Belgian Ardenne","Trutta trutta"
"WOS:000079801300033","Toxicity of trifluoroacetate to aquatic organisms","Microcystis flos-aquae"
"WOS:000079816500010","High performance liquid chromatographic determination of free amino acids in algae","Thalassiosira rotula"
"WOS:000079884500012","Total and methylmercury in sardines Sardinella aurita and Sardina pilchardus from Tunisia","Sardina pilchardus"
"WOS:000079936800006","Seasonal responses of six Poaceae to differential levels of solar UV-B radiation","Festuca rubra"
"WOS:000080266500002","Effects of experimental hypo- and hyperthyroidism on iodothyronine deiodinases in Nile tilapia, Oreochromis niloticus","Oreochromis niloticus"
"WOS:000080489200007","Immunohistochemically detected ontogeny of prolactin and growth hormone cells in the African catfish Clarias gariepinus","Oreochromis mossambicus"
"WOS:000080508900016","First inland records of the euryhaline goby Knipowitschia caucasica from lakes in Anatolia, Turkey","Knipowitschia caucasica"
"WOS:000080553500011","Recovery of acetylcholinesterase activity in the common carp (Cyprinus carpio L.) after inhibition by organophosphate and carbamate compounds","Cyprinus carpio"
"WOS:000080772400002","Spawning migrations, sexual maturity and sex steroid levels in female roach Rutilus rutilus from the River Meuse","Rutilus rutilus"
"WOS:000080814500007","Morphological and histochemical analysis of galls of Lipara lucens (Diptera, Chloropidae) on Phragmites australis (Poaceae)","Phragmites australis"
"WOS:000080847100018","Potential relation between mercury concentrations and necropsy findings in cetaceans from German waters of the North and Baltic Seas","Delphinapterus leucas"
"WOS:000080930700006","A kinematic comparison of forward and backward swimming in the eel Anguilla anguilla","Anguilla anguilla"
"WOS:000080935500007","Elucidation of the triglycerides in fish oil by packed-column supercritical fluid chromatography fractionation followed by capillary electrochromatography and electrospray mass spectrometry","Sardina pilchardus"
"WOS:000080940900001","First contribution to the diatom flora of the Amsterdam Island (TAAF)","Nitzschia frustulum"
"WOS:000081000100012","Diatoms from a hot spring in Lake Tanganyika","Caloneis ventricosa"
"WOS:000081001700008","The rice inoculant strain Alcaligenes faecalis A15 is a nitrogen-fixing Pseudomonas stutzeri","Pseudomonas stutzeri"
"WOS:000081110900007","Structure and functional analysis of a Tilapia (Oreochromis mossambicus) growth hormone gene: Activation and repression by pituitary transcription factor Pit-1","Oreochromis mossambicus"
"WOS:000081213800016","A preliminary investigation of spawning migrations of grayling in a small stream as determined by radio-tracking","Trutta trutta"
"WOS:000081411800006","Cathepsin L in eggs and larvae of perch Perca fluviatilis: variations with developmental stage and spawning period","Perca fluviatilis"
"WOS:000081420400002","Postembryonic development of the cephalic skeleton in Dicentrarchus labrax (Pisces, Perciformes, Serranidae)","Labrax labrax"
"WOS:000081536400034","Cloning and characterization of type III iodothyronine deiodinase from the fish Oreochromis niloticus","Oreochromis niloticus"
"WOS:000081639000006","Depth selection behavior, fish kairomones, and the life histories of Daphnia hyalina X galeata hybrid clones","Daphnia hyalina"
"WOS:000081759000004","Host-dependent and seasonal variation in opisthaptoral hard parts of Gyrodactylus cf. arcuatus from three Pomatoschistus spp. and G-arcuatus from Gasterosteus aculeatus: a multivariate approach","Gasterosteus aculeatus"
"WOS:000081825200005","Identification and characterization of a Fc Receptor activity on the Toxoplasma gondii tachyzoite","Toxoplasma gondii"
"WOS:000081855600021","The effects of gall formation by Lipara lucens (Diptera, Cloropidae) on its host Phragmites australis (Poaceae)","Phragmites australis"
"WOS:000081863000003","Evaluation of the ichthyological diversity of a West African River Basin after the construction of a dam","Tilapia zillii"
"WOS:000082026200005","The association of Flavobacterium columnare strains of high and low virulence with gill tissue of black mollies (Poecilia sphenops)","Poecilia sphenops"
"WOS:000082210200005","A preliminary study on the soil diatom assemblages from Ile de la Possession (Crozet, Subantarctica)","Fragilaria antarctica"
"WOS:000082222400004","Aldicarb intoxications in dogs and cats: a retrospective study","Daphnia magna"
"WOS:000082297900018","Feeding biology of a predatory and a facultatively predatory nematode (Enoploides longispiculosus and Adoncholaimus fuscus)","Adoncholaimus thalassophygas"
"WOS:000082351600013","Early postlarval fish in the hyperbenthos of the Dutch Delta (south-west Netherlands)","Pomatoschistus microps"
"WOS:000082423000005","Freshwater diatoms form Ile de la Possession (Crozet Archipelago, sub-Antarctica): an ecological assessment","Fragilaria antarctica"
"WOS:000082423100001","Moss diatom communities from Ile de la Possession (Crozet, Subantarctica) and their relationship with moisture","Fragilaria antarctica"
"WOS:000082431300010","Daphnia pulex didomain hemoglobin: Structure and evolution of polymeric hemoglobins and their coding genes","Daphnia pulex"
"WOS:000082467600013","Seasonal and diel utilisation of inshore microhabitats by larvae and juveniles of Leuciscus cephalus and Leuciscus leuciscus","Rutilus rutilus"
"WOS:000082648500003","In vivo expression and distribution of dense granule protein 7 (GRA7) in the exoenteric (tachyzoite, bradyzoite) and enteric (coccidian) forms of Toxoplasma gondii","Toxoplasma gondii"
"WOS:000082814500009","Comparison of Brachionus calyciflorus 2-D and Microtox (R) chronic 22-h tests with Daphnia magna 21-d test for the chronic toxicity assessment of chemicals","Daphnia magna"
"WOS:000082814500026","Bioavailability of cadmium and zinc to the common carp, Cyprinus carpio, in complexing environments: A test for the validity of the free ion activity model","Salmo gairdneri"
"WOS:000083040600003","The mysid-feeding guild of demersal fishes in the brackish zone of the Westerschelde estuary","Pleuronectes luscus"
"WOS:000083040600009","Early development of the chondrocranium in Chrysichthys auratus","Chrysichthys auratus"
"WOS:000083154500004","Spring phytoplankton assemblages in and around the maximum turbidity zone of the estuaries of the Elbe (Germany), the Schelde (Belgium/The Netherlands) and the Gironde (France)","Thalassiosira minima"
"WOS:000083208600013","Prenatal diagnosis of congenital toxoplasmosis: A multicenter evaluation of different diagnostic parameters","Toxoplasma gondii"
"WOS:000083291700008","Photosynthetic characteristics of perennial ryegrass and red fescue turf-grass cultivars","Festuca rubra"
"WOS:000083493900006","Transcription factor Pit-1 expression is modulated upon seasonal acclimatization of eurythermal ectotherms: Identification of two Pit-1 genes in the carp","Cyprinus carpio"
"WOS:000083523500002","Opsonization of Toxoplasma gondii tachyzoites with nonspecific immunoglobulins promotes their phagocytosis by macrophages and inhibits their proliferation in nonphagocytic cells in tissue culture","Toxoplasma gondii"
"WOS:000083692200002","Effect of dietary essential fatty acids and vitamins on egg quality in turbot broodstocks","Salmo gairdneri"
"WOS:000083740900006","The epibenthos of the backwaters of a tropical mangrove creek (Tudor creek, Mombasa, Kenya)","Yongeichthys nebulosus"
"WOS:000083740900007","Morphological description of the cephalic region of Bagrus docmac, with a reflection on Bagridae (Teleostei : Siluriformes) autapomorphies","Silurus clarias"
"WOS:000083751200006","Marine cyanobacteria in tropical regions: diversity and ecology","Lyngbya majuscula"
"WOS:000083806400013","Pregnancy-associated glycoprotein levels in pregnant goats inoculated with Toxoplasma gondii or Listeria monocytogenes: A retrospective study","Toxoplasma gondii"
"WOS:000083894200008","Reproduction of an estuarine tilapia (Sarotherodon melanotheron Ruppell, 1852) landlocked in a West-African man-made Lake.","Sarotherodon melanotheron"
"WOS:000084093900003","Description of a new pangasiid catfish from South-East Asia (Siluriformes)","Pangasius pangasius"
"WOS:000084093900006","Redescription of Clarias macrocephalus (Siluriformes : Clariidae) from South-East Asia","Clarias macrocephalus"
"WOS:000084130300004","Diel dynamics of habitat use by riverine young-of-the-year Barbus barbus and Chondrostoma nasus (Cyprinidae)","Rutilus rutilus"
"WOS:000084183200011","Osmoregulation of the common carp (Cyprinus carpio) when exposed to an osmotic challenge assessed in-vivo and non-invasively by diffusion- and T-2-weighted magnetic resonance imaging","Cyprinus carpio"
"WOS:000084301800007","DNA vaccination with genes encoding Toxoplasma gondii antigens GRA1, GRA7, and ROP2 induces partially protective immunity against lethal challenge in mice","Toxoplasma gondii"
"WOS:000084352800001","Phenotypic shifts caused by predation: selection or life-history shifts?","Gasterosteus aculeatus"
"WOS:000084433600046","Chicken cystatin stimulates nitric oxide release from interferon-gamma-activated mouse peritoneal macrophages via cytokine synthesis","Lucius lucius"
"WOS:000084469500014","Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium)","Limnodrilus hoffmeisteri"
"WOS:000084469500023","New sperm types in Naididae and Lumbriculidae (Annelida : Oligochaeta) and their possible phylogenetic implications","Paranais frici"
"WOS:000084774500008","Detection of chlorodifluoroacetic acid in precipitation: A possible product of fluorocarbon degradation","Myriophyllum spicatum"
"WOS:000084847300007","A review of virus infections of cetaceans and the potential impact of morbilliviruses, poxviruses and papillomaviruses on host population dynamics","Delphinapterus leucas"
"WOS:000084895900002","Analysis of the seasonal variation in biochemical composition of Daphnia magna Straus (Crustacea : Branchiopoda : Anomopoda) from an aerated wastewater stabilisation pond","Daphnia magna"
"WOS:000084987700011","Nine polymorphic microsatellite markers in the SE Asian catfishes Pangasius hypophthalmus and Clarias batrachus","Pangasius pangasius"
"WOS:000085059200005","Concentration effects of selected insecticides on brain acetylcholinesterase in the common carp (Cyprinus carpio L.)","Cyprinus carpio"
"WOS:000085172800003","On the anatomy and function of the cephalic structures associated with the feeding mechanisms in the genus Chrysichthys (Teleostei : Siluriformes)","Chrysichthys auratus"
"WOS:000085328800002","Current status of minimally invasive treatment options for localized prostate carcinoma","Rita rita"
"WOS:000085468600014","Kinetics of waterborne strontium uptake in the common carp, Cyprinus carpio, at different calcium levels","Salmo gairdneri"
"WOS:000085621300009","Identification of a 200-to 300-fold repetitive 529 bp DNA fragment in Toxoplasma gondii, and its use for diagnostic and quantitative PCR","Toxoplasma gondii"
"WOS:000085908000009","Digestibility of macronutrients, energy and amino acids, absorption of elements and absence of intestinal enteritis in Atlantic salmon, Salmo salar, fed diets with wheat gluten","Salmo salmo"
"WOS:000085947400012","The energy metabolism of common carp (Cyprinus carpio) when exposed to salt stress: An increase in energy expenditure or effects of starvation?","Cyprinus carpio"
"WOS:000085987500001","Myofibrillar proteins in white muscle of the developing African catfish Heterobranchus longifilis (Siluriforms, Clariidae)","Salvelinus alpinus"
"WOS:000086074300014","Tuna and dolphin associations in the North-east Atlantic: Evidence of different ecological niches from stable isotope and heavy metal measurements","Delphinus melas"
"WOS:000086227400018","Predator-induced life-history changes and the coexistence of five taxa in a Daphnia species complex","Daphnia hyalina"
"WOS:000086298300001","The influence of predator species and prey age on the immediate survival value of antipredator behaviours in a damselfly","Gasterosteus elegans"
"WOS:000086301700006","Iron-encrusted diatoms and bacteria epibiotic on Hydrobia ulvae (Gastropoda : Prosobranchia)","Cocconeis placentula"
"WOS:000086392600012","The effect of PIT tags on growth and physiology of age-0 cultured Eurasian perch Perca fluviatilis of variable size","Perca fluviatilis"
"WOS:000086478400005","Purification, characterization, and preliminary crystallographic study of copper-containing nitrous oxide reductase from Pseudomonas nautica 617","Pseudomonas stutzeri"
"WOS:000086771500006","Ribosomal DNA sequences of Glugea anomala, G-stephani, G-americanus and Spraguea lophii (Microsporidia): phylogenetic reconstruction","Glugea atherinae"
"WOS:000086892200008","Isolation of virus-like particles from koi (Cyprinus carpio) suffering gill necrosis","Cyprinus carpio"
"WOS:000086964900005","Feeding habits of Mormyrops anguilloides (Mormyridae) in lacustrine and riverine habitats of a West African basin.","Sarotherodon melanotheron"
"WOS:000087156400005","Genital diseases in the Peruvian dusky dolphin (Lagenorhynchus obscurus)","Delphinapterus leucas"
"WOS:000087186800007","Influence of daylength on growth, heterogeneity, gonad development, sexual steroid and thyroid levels, and N and P budgets in Perca fluviatilis","Perca fluviatilis"
"WOS:000087281500017","Relationship between the drift of macroinvertebrates and the activity of brown trout in a small stream","Trutta trutta"
"WOS:000087397600009","Recombinant prolactin receptor extracellular domain of rainbow trout (Oncorhynchus mykiss): Subcloning, preparation, and characterization","Oncorhynchus mykiss"
"WOS:000087427500002","Cloning and expression analysis of an inducible HSP70 gene from tilapia fish","Oreochromis mossambicus"
"WOS:000087583200003","Terrestrial soil diatom assemblages from different vegetation types in Zackenberg (Northeast Greenland)","Navicula elliptica"
"WOS:000087771500011","Dietary low-glucosinolate rapeseed meal affects thyroid status and nutrient utilization in rainbow trout (Oncorhynchus mykiss)","Salmo mykiss"
"WOS:000087934700008","Characterization of the Fugu rubripes NLK and FN5 genes flanking the NF1 (neurofibromatosis type 1) gene in the 5 ' direction and mapping of the human counterparts","Fugu rubripes"
"WOS:000087952800013","Potential of plant-protein sources as fish meal substitutes in diets for turbot (Psetta maxima): growth, nutrient utilisation and thyroid status","Salvelinus alpinus"
"WOS:000087979500007","Day-night alternation prevails over food availability in synchronising the activity of Piaractus brachypomus (Characidae)","Salvelinus alpinus"
"WOS:000088041200009","Induction of spermiation in common carp after enhanced intestinal uptake of sGnRH-A and Pimozide","Cyprinus carpio"
"WOS:000088041200018","Contribution to the phylogeny of pangasiid catfishes based on allozymes and mitochondrial DNA","Trutta trutta"
"WOS:000088305700019","Sources of toxoplasma infection in pregnant women: European multicentre case-control study","Toxoplasma gondii"
"WOS:000088389500003","Rhabdocoela (Platyhelminthes) from the Weddell Sea (Antarctica) with the description of eight new species","Gyratrix hermaphroditus"
